entry_mode,stop_buffer,trail,rs_min,signals,filled,win_rate,avg_win,avg_loss,wl_ratio,expectancy_eur,profit_factor,cagr,max_dd,sharpe,sortino,exposure,turnover,longest_loss_streak,verdict,cost_commission,cost_spread_slip,cost_fx,cost_gap_loss
reversal,0.25,3.5,90,2226,75,0.25333333333333335,270.00095005408156,-87.92430909106463,3.0708339120917882,2.7500898923724026,1.0418900773168567,0.0011471567728400522,-0.06632006647804356,-0.5387592605402727,-0.4782887702342115,0.4907038512616202,0.9063128592757236,11,,135.43,219.38,219.68,476.8
reversal,0.5,2.5,70,1961,163,0.3006134969325153,188.99843282132366,-59.50902701270908,3.175962409551077,15.195669501816106,1.3651066497193225,0.013402463578018775,-0.046516335972746736,-0.17357563130900278,-0.2077174478276009,0.5756972111553785,1.9235782871010032,11,,291.75,461.49,463.14,407.99
reversal,0.5,2.5,75,1961,147,0.3197278911564626,191.68913452123428,-62.03964423167763,3.089784554621241,19.084523124695558,1.452198740671983,0.015110519528784838,-0.05189867936843551,-0.12635413221302527,-0.1471971458715745,0.549136786188579,1.7778596325142686,13,,263.0,426.16,427.95,412.41
reversal,0.5,2.5,80,1961,134,0.30597014925373134,174.98079947481764,-60.97387262631484,2.869766867969941,11.221213613583915,1.2651660385673933,0.00822650235765221,-0.04589363155420434,-0.3302480745955686,-0.36506767203251494,0.5418326693227091,1.5758732125130945,10,,239.96,377.83,378.92,393.55
reversal,0.5,2.5,85,1961,112,0.3125,188.1372217397449,-66.09574095741341,2.8464348687907868,13.352059885448552,1.2938340312685395,0.008173035362714742,-0.044951268562033575,-0.34297193601348835,-0.35438407228432034,0.5,1.3887289162033367,10,,201.52,334.76,335.8,310.57
reversal,0.5,2.5,90,1961,72,0.3194444444444444,205.90990798734776,-68.44391501966412,3.008447250981907,19.196889552020238,1.4121283014813035,0.007565501766159111,-0.04305674591268405,-0.4515515479857161,-0.41840863291998304,0.398406374501992,0.9263823845429768,13,,129.97,224.45,225.34,271.48
reversal,0.5,3.0,70,1961,136,0.3014705882352941,222.7707220918903,-68.44902559317421,3.2545492088656576,19.34516304717611,1.4045949217209681,0.014205289991523706,-0.048849156091113954,-0.1483259046569591,-0.17868464888118024,0.602921646746348,1.4895249080180268,9,,243.77,357.96,359.61,340.52
reversal,0.5,3.0,75,1961,120,0.3416666666666667,214.265946728037,-71.03724800106765,3.016247852462087,26.44134353137644,1.5653944550752603,0.01700299081622969,-0.05798944189797328,-0.07175429524915183,-0.08402741789542593,0.5624169986719787,1.3344638028104978,10,,214.9,320.2,322.08,330.88
reversal,0.5,3.0,80,1961,109,0.3577981651376147,219.74846447526573,-72.32958417004488,3.038154677602502,32.17540571222221,1.6926861775213942,0.018681371613610942,-0.040576902144445426,-0.022840423776112437,-0.026302903399924932,0.5617529880478087,1.2572670580996144,8,,195.54,302.4,304.42,323.22
reversal,0.5,3.0,85,1961,93,0.3333333333333333,255.8895010216306,-81.72513246607336,3.131099250623525,30.81307869649463,1.5655496253117624,0.015382629431206718,-0.047551807670431434,-0.11900932315370652,-0.12579855096319725,0.5305444887118194,1.1147121402075173,10,,167.02,268.36,270.04,383.88
reversal,0.5,3.0,90,1961,59,0.3220338983050847,329.1619592241031,-82.55374417038422,3.9872444615563354,50.03266878716256,1.8939411192392595,0.015828343174019155,-0.040781766342020576,-0.1262623780822407,-0.12476196048610289,0.450199203187251,0.7399215117396664,10,,106.47,179.46,181.1,296.88
reversal,0.5,3.5,70,1961,121,0.2892561983471074,260.8543225173586,-75.50192745571627,3.4549359375011455,21.79120270178472,1.4060785792155823,0.014235410942089688,-0.04796490487070115,-0.136232216471255,-0.16128857612182543,0.6274900398406374,1.3253004688057506,11,,217.09,318.82,320.43,424.93
reversal,0.5,3.5,75,1961,110,0.2909090909090909,253.9366192668874,-76.71276326364428,3.31022646641166,19.476148017964938,1.3580416272458093,0.01164736777325781,-0.048675214889153384,-0.21242274823404406,-0.23280624559338597,0.5697211155378487,1.2090948330867812,10,,197.34,290.38,291.72,406.97
reversal,0.5,3.5,80,1961,102,0.3333333333333333,238.73179157825012,-79.79061194890096,2.991978451439091,26.3835225601494,1.4959892257195455,0.01448773408171844,-0.040769729820867906,-0.1321160940511545,-0.143750815596297,0.5717131474103586,1.1495593286732924,7,,183.45,276.96,278.56,487.4
reversal,0.5,3.5,85,1961,85,0.3058823529411765,285.74406561919693,-86.87785959498555,3.28903206123289,27.100611646999695,1.4494039591873753,0.012456030027714116,-0.050745841716214546,-0.1957101634603324,-0.20084331768191718,0.5365205843293492,1.0096350237517635,8,,152.8,243.21,244.58,478.36
reversal,0.5,3.5,90,1961,57,0.3157894736842105,336.2519347291604,-95.25434611216966,3.5300429686766908,41.010795206145104,1.6292506009277035,0.012634595739325905,-0.057967513132497483,-0.21830983436724297,-0.21453017036727845,0.4754316069057105,0.7178329019358889,10,,102.94,174.06,175.39,355.95
