ticker,sector,entry_date,exit_date,entry_px,exit_px,shares,pnl_eur,pnl_pct,hold_days,exit_reason,regime_at_entry
BA,Industrial,2025-08-06,2025-09-11,225.9821219444275,221.58211871582324,6,-38.72335313673966,-0.03302017618371795,36,TRAILING_STOP,NEUTRAL
META,Comm,2025-09-15,2025-09-30,755.9391655778811,729.6571660223211,3,-73.04697508700747,-0.03772639517227681,15,TRAILING_STOP,BULL_MODERATE
WELL,RealEstate,2025-08-20,2025-10-08,162.8890835534239,169.19411277692538,22,108.60937998852341,0.03524952485582537,49,TRAILING_STOP,BULL_STRONG
JPM,Fin,2025-08-21,2025-10-14,287.3997056716919,295.378052251791,13,105.75915039895744,0.03294866162869318,54,TRAILING_STOP,BULL_MODERATE
AVGO,Tech,2025-10-03,2025-11-07,340.02134109406336,345.63164450844926,7,59.586226385696364,0.02931912203845484,35,TRAILING_STOP,BULL_MODERATE
GS,Fin,2025-10-27,2025-11-17,778.5427006645036,765.6308626718079,3,-35.72647202568987,-0.01777125257784384,21,TRAILING_STOP,BULL_STRONG
GE,Industrial,2025-08-22,2025-11-20,268.7025908254094,291.2124846962792,13,265.16164487692413,0.08806271961552986,90,TRAILING_STOP,BULL_STRONG
RTX,Industrial,2025-11-17,2025-11-21,174.31847633909635,169.51595177314707,15,-52.30764515825376,-0.02320978328431559,4,TRAILING_STOP,NEUTRAL
GOOGL,Comm,2025-10-14,2025-12-17,244.2217718118095,295.6009237731599,13,518.759316193476,0.1887951512414769,64,TRAILING_STOP,BULL_MODERATE
CAT,Industrial,2025-11-24,2025-12-17,549.4624814349443,572.2182502314756,3,24.357292404834197,0.016981113006633637,23,TRAILING_STOP,NEUTRAL
C,Fin,2025-11-20,2026-01-13,99.69077134161546,114.09945704001457,6,65.7900880516496,0.12662958503538566,54,TRAILING_STOP,NEUTRAL
MS,Fin,2026-02-02,2026-02-05,181.23455671136853,173.88595517990143,22,-130.88928756765927,-0.0388592476014415,3,TRAILING_STOP,BULL_STRONG
C,Fin,2026-02-02,2026-02-12,114.2451191187,112.43241430646559,35,-68.59040924506189,-0.02030542014367136,10,TRAILING_STOP,BULL_STRONG
ADI,Tech,2026-01-05,2026-03-05,273.95350815765846,329.336906977588,14,677.685677255171,0.2066063967632812,59,TRAILING_STOP,BULL_STRONG
WMT,Staples,2026-03-02,2026-03-19,127.73163497385977,119.59577217916787,9,-42.11104462755634,-0.043006993242228515,17,TRAILING_STOP,NEUTRAL
RTX,Industrial,2025-12-10,2026-03-20,171.0341696952438,195.69299095739635,22,474.89054812535323,0.14661005631345522,100,TRAILING_STOP,BULL_MODERATE
JNJ,Health,2026-03-10,2026-03-23,241.74582767234799,232.76105669944104,8,-58.54330564893871,-0.03512215098089388,13,TRAILING_STOP,NEUTRAL
NEE,Utilities,2026-03-10,2026-05-18,91.54660426563262,90.366990704596,24,-28.92169608884069,-0.015273901240316403,69,GAP_STOP,NEUTRAL
SLB,Energy,2026-05-12,2026-06-16,55.04049193071691,53.11415953551894,24,-25.561802770206896,-0.02276079193261373,35,TRAILING_STOP,NEUTRAL
CAT,Industrial,2026-05-26,2026-07-07,884.41553822003,943.2769402716132,3,187.3925952758923,0.08209956452894601,42,TRAILING_STOP,BULL_MODERATE
MS,Fin,2026-07-27,2026-07-29,217.79299238245008,204.31458855821666,5,-61.84756297217143,-0.06460974796065641,2,TRAILING_STOP,NEUTRAL
LLY,Health,2026-07-17,2026-07-31,1171.8021380067441,1123.7206940262527,1,-52.21664825048913,-0.05091688037987157,14,TRAILING_STOP,NEUTRAL
UNH,Health,2026-07-29,2026-08-04,429.75532205165854,409.07663885923665,3,-69.459942935144,-0.0612521816793616,6,TRAILING_STOP,NEUTRAL
JNJ,Health,2026-07-23,2026-08-10,256.2054919313049,261.80999755859375,5,6.479309759259877,0.005763127071743589,18,END_OF_BACKTEST,NEUTRAL
GE,Industrial,2026-07-31,2026-08-10,356.68529022216796,366.70001220703125,3,19.97336914952382,0.021473324303669574,10,END_OF_BACKTEST,NEUTRAL
