,0
2019-07-09,35153.405487569595
2019-07-10,35353.068620556915
2019-07-11,35270.263046997694
2019-07-12,35444.818370328045
2019-07-15,35537.921552307984
2019-07-16,35393.24402970354
2019-07-17,35189.99541870297
2019-07-18,35259.1134481309
2019-07-19,34939.29967739279
2019-07-22,35067.53620774346
2019-07-23,35325.836603976044
2019-07-24,35473.21578768288
2019-07-25,35307.64788960099
2019-07-26,35425.1860565521
2019-07-29,35405.310474597165
2019-07-30,35367.277416792414
2019-07-31,35006.791859494726
2019-08-01,34887.822552440484
2019-08-02,34790.142533072314
2019-08-05,33783.55853627536
2019-08-06,34212.12579224211
2019-08-07,34522.77678907313
2019-08-08,35135.720094903634
2019-08-09,34935.111434047554
2019-08-12,34694.68443543049
2019-08-13,35121.85406794698
2019-08-14,34394.7651792203
2019-08-15,34706.43304755363
2019-08-16,35139.820661632
2019-08-19,35540.64687376071
2019-08-20,35264.37555870047
2019-08-21,35482.47243261341
2019-08-22,35574.931418603104
2019-08-23,34836.40946870407
2019-08-26,35249.90754328101
2019-08-27,35159.56318574197
2019-08-28,35316.218227312456
2019-08-29,35611.484633855165
2019-08-30,35595.90840552899
2019-09-03,35996.160807766
2019-09-04,36215.08342654839
2019-09-05,35904.62080731478
2019-09-06,35911.311938742
2019-09-09,35734.72625312055
2019-09-10,35501.22864745805
2019-09-11,35633.84217901781
2019-09-12,35779.07446363348
2019-09-13,35492.25614751428
2019-09-16,35509.9348325513
2019-09-17,35844.87406860146
2019-09-18,35879.03739478081
2019-09-19,35972.742812426855
2019-09-20,35931.22144555495
2019-09-23,36023.62071344632
2019-09-24,36198.878153106336
2019-09-25,36187.03167103413
2019-09-26,36434.94671782285
2019-09-27,36298.19508091969
2019-09-30,36380.463323295815
2019-10-01,36215.96133897725
2019-10-02,35738.556896689464
2019-10-03,35991.32651622383
2019-10-04,36402.07408272471
2019-10-07,36234.866239912735
2019-10-08,35949.16674646794
2019-10-09,36135.40849280876
2019-10-10,36176.735096079356
2019-10-11,36079.91905857173
2019-10-14,35961.8743348699
2019-10-15,35881.79200699027
